name,country,description,category,best_season,budget,activities,rating,image_url
Paris,France,"City of Lights with iconic landmarks",CULTURAL,SPRING,MODERATE,"Eiffel Tower, Louvre, Seine Cruise",4.7,https://images.unsplash.com/photo-1502602898536-47ad22581b52?w=800
Bali,Indonesia,"Tropical paradise with beaches",BEACH,SUMMER,MODERATE,"Surfing, Temples, Rice Terraces",4.8,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
Rome,Italy,"Ancient city with Colosseum",HISTORICAL,SPRING,MODERATE,"Colosseum, Vatican, Pasta Making",4.7,https://images.unsplash.com/photo-1552832230-c0197045d4b0?w=800
Tokyo,Japan,"High-tech metropolis with tradition",CULTURAL,SPRING,LUXURY,"Shibuya, Temples, Sushi",4.8,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?w=800
New York,USA,"The city that never sleeps",CULTURAL,FALL,MODERATE,"Broadway, Statue of Liberty",4.6,https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9?w=800
Sydney,Australia,"Harbor city with Opera House",CULTURAL,SUMMER,MODERATE,"Bondi Beach, Harbour Bridge",4.6,https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9?w=800
Barcelona,Spain,"Gaudi architecture and beaches",CULTURAL,SPRING,MODERATE,"Sagrada Familia, Tapas",4.7,https://images.unsplash.com/photo-1583422409516-2895a77efded?w=800
Dubai,UAE,"Ultra-modern desert city",CULTURAL,WINTER,LUXURY,"Burj Khalifa, Desert Safari",4.5,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800
London,UK,"Historic capital with royalty",HISTORICAL,SUMMER,LUXURY,"Big Ben, Museums, Tea",4.6,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad?w=800
Iceland,Iceland,"Land of fire and ice",ADVENTURE,SUMMER,MODERATE,"Northern Lights, Geysers",4.8,https://images.unsplash.com/photo-1539650116574-75c0c6d73f6e?w=800
Santorini,Greece,"Whitewashed cliffside village",BEACH,SUMMER,LUXURY,"Sunsets, Wine, Caldera Views",4.9,https://images.unsplash.com/photo-1570077188670-e3a8d69ac5ff?w=800
Amsterdam,Netherlands,"Canals and cycling culture",CULTURAL,SPRING,MODERATE,"Van Gogh Museum, Canals",4.5,https://images.unsplash.com/photo-1512476446317-0c85f3b7292d?w=800
Prague,Czechia,"Medieval old town charm",HISTORICAL,SPRING,CHEAP,"Charles Bridge, Castle",4.6,https://images.unsplash.com/photo-1592906209472-36b19c42ad5f?w=800
Rio de Janeiro,Brazil,"Christ statue and beaches",BEACH,SUMMER,MODERATE,"Carnival, Sugarloaf",4.5,https://images.unsplash.com/photo-1483729558449-99ef09a8c325?w=800
Hong Kong,China,"Skyscrapers meet tradition",CULTURAL,FALL,LUXURY,"Victoria Peak, Dim Sum",4.6,https://images.unsplash.com/photo-1506970845247-4db2a5e87b4f?w=800
Bangkok,Thailand,"Vibrant street food capital",FOOD,WINTER,CHEAP,"Temples, Floating Markets",4.6,https://images.unsplash.com/photo-1552465011-b4e21bf6e79a?w=800
Cape Town,South Africa,"Table Mountain and vineyards",CULTURAL,SUMMER,MODERATE,"Wine Tours, Penguins",4.7,https://images.unsplash.com/photo-1515634928627-2a4e0dae3ddf?w=800
Venice,Italy,"Romantic canal city",CULTURAL,SPRING,MODERATE,"Gondolas, Carnival",4.6,https://images.unsplash.com/photo-1514890547357-a9ee288728e0?w=800
Seoul,Korea,"High-tech with palaces",CULTURAL,FALL,MODERATE,"Palaces, K-pop, BBQ",4.6,https://images.unsplash.com/photo-1534274867514-d5b47ef89edb?w=800
Singapore,Singapore,"Ultra-clean garden city",CULTURAL,ALL,LUXURY,"Gardens, Hawker Food",4.7,https://images.unsplash.com/photo-1525625293386-3f8f99389edd?w=800
Vienna,Austria,"Imperial palaces and music",CULTURAL,SPRING,MODERATE,"Opera, Schnitzel",4.5,https://images.unsplash.com/photo-1516550893923-42d28e5677af?w=800
Berlin,Germany,"Historic vibrant capital",HISTORICAL,SUMMER,MODERATE,"Wall, Nightlife",4.5,https://images.unsplash.com/photo-1560969184-10fe8719e047?w=800
Florence,Italy,"Renaissance art capital",CULTURAL,SPRING,MODERATE,"David, Duomo",4.7,https://images.unsplash.com/photo-1551884831-bbf3cdc6469e?w=800
Mumbai,India,"Bollywood and Gateway",CULTURAL,WINTER,CHEAP,"Elephanta Caves, Food",4.4,https://images.unsplash.com/photo-1529253355930-ddbe423a2ac7?w=800
Toronto,Canada,"Multicultural metropolis",CULTURAL,SUMMER,MODERATE,"CN Tower, Niagara",4.5,https://images.unsplash.com/photo-1517935706615-2717063c2225?w=800
Edinburgh,Scotland,"Medieval castles",HISTORICAL,SUMMER,MODERATE,"Castle, Whisky",4.6,https://images.unsplash.com/photo-1592394533824-2c5d5f3936e9?w=800
Lisbon,Portugal,"Seven hills and trams",CULTURAL,SPRING,MODERATE,"Belem Tower, Fado",4.5,https://images.unsplash.com/photo-1585208798174-6cedd86e019a?w=800
Dubrovnik,Croatia,"Game of Thrones walls",HISTORICAL,SUMMER,MODERATE,"Old Town, Adriatic",4.6,https://images.unsplash.com/photo-1554300665-9ef89c5c16a3?w=800
